=================> EP: 0, Test acc: 29.100000381469727
=================> EP: 1, Test acc: 25.270000457763672
=================> EP: 2, Test acc: 30.149999618530273
=================> EP: 3, Test acc: 34.529998779296875
=================> EP: 4, Test acc: 40.41999816894531
=================> EP: 5, Test acc: 41.79999923706055
=================> EP: 6, Test acc: 37.15999984741211
=================> EP: 7, Test acc: 41.560001373291016
=================> EP: 8, Test acc: 42.4900016784668
=================> EP: 9, Test acc: 40.790000915527344

